Region,Date,Value
HSE Dublin and North East,2025-09-21,1.7690437560337027
HSE Dublin and North East,2025-09-28,1.8869800064359497
HSE Dublin and North East,2025-10-05,2.375573043816687
HSE Dublin and North East,2025-10-12,1.6426834877455812
HSE Dublin and North East,2025-10-19,1.2467546471094668
HSE Dublin and North East,2025-10-26,1.280450718652966
HSE Dublin and North East,2025-11-02,1.4573550942563362
HSE Dublin and North East,2025-11-09,2.06388438203932
HSE Dublin and North East,2025-11-16,1.9964922389523216
HSE Dublin and South East,2023-01-01,0.6590511928311705
HSE Dublin and South East,2023-01-08,6.013842134584432
HSE Dublin and South East,2023-01-15,4.5206792758263115
HSE Dublin and South East,2023-01-22,3.6041862107954645
HSE Dublin and South East,2023-01-29,3.738055984339296
HSE Dublin and South East,2023-02-05,3.233469914827931
HSE Dublin and South East,2023-02-12,4.325023452954557
HSE Dublin and South East,2023-02-19,4.170558329634752
HSE Dublin and South East,2023-02-26,3.604186210795464
HSE Dublin and South East,2023-03-05,4.252939728738648
HSE Dublin and South East,2023-03-12,4.345618802730532
HSE Dublin and South East,2023-03-19,3.9234141323230625
HSE Dublin and South East,2023-03-26,4.613358349818195
HSE Dublin and South East,2023-04-02,3.7998420336672183
HSE Dublin and South East,2023-04-09,2.01834427804546
HSE Dublin and South East,2023-04-16,3.212874565051957
HSE Dublin and South East,2023-04-23,4.283832753402609
HSE Dublin and South East,2023-04-30,4.716335098698065
HSE Dublin and South East,2023-05-07,5.272409542649365
HSE Dublin and South East,2023-05-14,4.38680950228248
HSE Dublin and South East,2023-05-21,2.92453966818832
HSE Dublin and South East,2023-05-28,3.3673396883717626
HSE Dublin and South East,2023-06-04,1.9668559036055249
HSE Dublin and South East,2023-06-11,2.152214051589292
HSE Dublin and South East,2023-06-18,2.728883845316566
HSE Dublin and South East,2023-06-25,2.152214051589292
HSE Dublin and South East,2023-07-02,1.987451253381499
HSE Dublin and South East,2023-07-09,2.728883845316566
HSE Dublin and South East,2023-07-16,2.3375721995730583
HSE Dublin and South East,2023-07-23,2.265488475357149
HSE Dublin and South East,2023-07-30,3.1098978161720865
HSE Dublin and South East,2023-08-06,2.986325717516242
HSE Dublin and South East,2023-08-13,2.605311746660721
HSE Dublin and South East,2023-08-20,2.5744187219967607
HSE Dublin and South East,2023-08-27,2.6876931457646176
HSE Dublin and South East,2023-09-03,2.203702426029227
HSE Dublin and South East,2023-09-10,2.2860838251331232
HSE Dublin and South East,2023-09-17,2.450846623340916
HSE Dublin and South East,2023-09-24,3.5938885359074773
HSE Dublin and South East,2023-10-01,2.8730512937483845
HSE Dublin and South East,2023-10-08,2.8421582690844236
HSE Dublin and South East,2023-10-15,3.1304931659480606
HSE Dublin and South East,2023-10-22,2.9245396681883196
HSE Dublin and South East,2023-10-29,3.3158513139318275
HSE Dublin and South East,2023-11-05,3.0893024663961124
HSE Dublin and South East,2023-11-12,3.9131164574350756
HSE Dublin and South East,2023-11-19,3.738055984339296
HSE Dublin and South East,2023-11-26,3.460018762363646
HSE Dublin and South East,2023-12-03,4.057283905866894
HSE Dublin and South East,2023-12-10,3.511507136803581
HSE Dublin and South East,2023-12-17,3.8925211076591015
HSE Dublin and South East,2023-12-24,2.6156094215487085
HSE Dublin and South East,2023-12-31,0.9061953901428597
HSE Dublin and South East,2024-01-07,1.6373303071899397
HSE Dublin and South East,2024-01-14,2.6773954708766308
HSE Dublin and South East,2024-01-21,3.0996001412840997
HSE Dublin and South East,2024-01-28,2.9245396681883196
HSE Dublin and South East,2024-02-04,3.3055536390438403
HSE Dublin and South East,2024-02-11,4.294130428290596
HSE Dublin and South East,2024-02-18,4.129367630082804
